x,y,z,Bx,By,Bz,Ex,Ey,Ez
-4.500000000000e+02,0.000000000000e+00,1.140000000000e+01,-1.341738503294e-15,-3.980243011620e-14,3.255940558370e-15,-5.054311983208e+03,2.546941171247e-01,-8.943606399634e+02
-4.500000000000e+02,0.000000000000e+00,1.160000000000e+01,-1.338320385598e-15,-3.970894797527e-14,3.257659860492e-15,-5.055476040373e+03,2.546878365865e-01,-8.922678259394e+02
-4.500000000000e+02,0.000000000000e+00,1.180000000000e+01,-1.334898559771e-15,-3.961539940907e-14,3.259375081620e-15,-5.056637499826e+03,2.546814042792e-01,-8.901735193242e+02
-4.500000000000e+02,0.000000000000e+00,1.200000000000e+01,-1.331473033490e-15,-3.952178455433e-14,3.261086213944e-15,-5.057796358374e+03,2.546748202211e-01,-8.880777231768e+02
-4.500000000000e+02,0.000000000000e+00,1.220000000000e+01,-1.328043814455e-15,-3.942810354811e-14,3.262793249671e-15,-5.058952612833e+03,2.546680844308e-01,-8.859804405630e+02
-4.500000000000e+02,0.000000000000e+00,1.240000000000e+01,-1.324610910391e-15,-3.933435652774e-14,3.264496181019e-15,-5.060106260021e+03,2.546611969273e-01,-8.838816745551e+02
-4.500000000000e+02,0.000000000000e+00,1.260000000000e+01,-1.321174329045e-15,-3.924054363085e-14,3.266195000222e-15,-5.061257296767e+03,2.546541577300e-01,-8.817814282323e+02
-4.500000000000e+02,0.000000000000e+00,1.280000000000e+01,-1.317734078187e-15,-3.914666499540e-14,3.267889699530e-15,-5.062405719900e+03,2.546469668591e-01,-8.796797046804e+02
-4.500000000000e+02,0.000000000000e+00,1.300000000000e+01,-1.314290165610e-15,-3.905272075960e-14,3.269580271204e-15,-5.063551526261e+03,2.546396243348e-01,-8.775765069920e+02
-4.500000000000e+02,0.000000000000e+00,1.320000000000e+01,-1.310842599131e-15,-3.895871106200e-14,3.271266707523e-15,-5.064694712693e+03,2.546321301780e-01,-8.754718382663e+02
-4.500000000000e+02,0.000000000000e+00,1.340000000000e+01,-1.307391386587e-15,-3.886463604141e-14,3.272949000778e-15,-5.065835276047e+03,2.546244844100e-01,-8.733657016092e+02
-4.500000000000e+02,0.000000000000e+00,1.360000000000e+01,-1.303936535842e-15,-3.877049583697e-14,3.274627143278e-15,-5.066973213179e+03,2.546166870526e-01,-8.712581001330e+02
-4.500000000000e+02,0.000000000000e+00,1.380000000000e+01,-1.300478054780e-15,-3.867629058809e-14,3.276301127342e-15,-5.068108520952e+03,2.546087381280e-01,-8.691490369571e+02
-4.500000000000e+02,0.000000000000e+00,1.400000000000e+01,-1.297015951308e-15,-3.858202043448e-14,3.277970945309e-15,-5.069241196234e+03,2.546006376587e-01,-8.670385152071e+02
-4.500000000000e+02,0.000000000000e+00,1.420000000000e+01,-1.293550233356e-15,-3.848768551616e-14,3.279636589530e-15,-5.070371235901e+03,2.545923856680e-01,-8.649265380155e+02
-4.500000000000e+02,0.000000000000e+00,1.440000000000e+01,-1.290080908879e-15,-3.839328597342e-14,3.281298052371e-15,-5.071498636834e+03,2.545839821793e-01,-8.628131085212e+02
-4.500000000000e+02,0.000000000000e+00,1.460000000000e+01,-1.286607985850e-15,-3.829882194687e-14,3.282955326214e-15,-5.072623395920e+03,2.545754272166e-01,-8.606982298699e+02
-4.500000000000e+02,0.000000000000e+00,1.480000000000e+01,-1.283131472270e-15,-3.820429357738e-14,3.284608403455e-15,-5.073745510053e+03,2.545667208044e-01,-8.585819052136e+02
-4.500000000000e+02,0.000000000000e+00,1.500000000000e+01,-1.279651376159e-15,-3.810970100614e-14,3.286257276507e-15,-5.074864976133e+03,2.545578629675e-01,-8.564641377112e+02
-4.500000000000e+02,0.000000000000e+00,1.520000000000e+01,-1.276167705560e-15,-3.801504437463e-14,3.287901937796e-15,-5.075981791065e+03,2.545488537313e-01,-8.543449305279e+02
-4.500000000000e+02,0.000000000000e+00,1.540000000000e+01,-1.272680468540e-15,-3.792032382460e-14,3.289542379766e-15,-5.077095951763e+03,2.545396931215e-01,-8.522242868356e+02
-4.500000000000e+02,0.000000000000e+00,1.560000000000e+01,-1.269189673188e-15,-3.782553949811e-14,3.291178594874e-15,-5.078207455144e+03,2.545303811644e-01,-8.501022098127e+02
-4.500000000000e+02,0.000000000000e+00,1.580000000000e+01,-1.265695327613e-15,-3.773069153750e-14,3.292810575594e-15,-5.079316298134e+03,2.545209178867e-01,-8.479787026440e+02
-4.500000000000e+02,0.000000000000e+00,1.600000000000e+01,-1.262197439951e-15,-3.763578008541e-14,3.294438314414e-15,-5.080422477664e+03,2.545113033155e-01,-8.458537685209e+02
-4.500000000000e+02,0.000000000000e+00,1.620000000000e+01,-1.258696018357e-15,-3.754080528477e-14,3.296061803839e-15,-5.081525990673e+03,2.545015374782e-01,-8.437274106414e+02
