,N,Bx,By,Bz,Ex,Ey,Ez
3646,1000000,2.06E-13,3.23E-13,1.37E-10,6563.055136,4779.681742,-196467.6075
3647,1000000,1.88E-13,-9.54E-14,1.39E-10,8454.285619,9189.867862,-201589.7226
3648,1000000,-1.04E-14,8.90E-14,1.36E-10,-2197.463002,-1363.807286,-193181.3614
3649,1000000,1.33E-13,-1.71E-14,1.36E-10,2222.969496,-606.5374125,-196211.8791
3650,1000000,4.37E-13,-1.43E-13,1.37E-10,2703.850402,732.4086417,-195124.525
3651,1000000,-3.29E-13,-2.55E-13,1.36E-10,-10651.86992,1939.351259,-192464.0567
3652,1000000,2.01E-13,-7.23E-13,1.37E-10,5153.282408,-4701.362451,-195083.5505
3653,1000000,4.67E-13,5.34E-13,1.36E-10,9498.037036,23713.65194,-192114.075
3654,1000000,-1.24E-13,-6.23E-13,1.36E-10,-394.6025306,-6649.101552,-190976.0183
3655,1000000,-2.11E-13,6.70E-14,1.35E-10,-3427.611171,1456.944585,-192917.7498
3656,1000000,-9.45E-14,2.94E-13,1.37E-10,-6309.685268,1072.108121,-193564.7581
3657,1000000,-1.78E-13,-4.53E-13,1.38E-10,-4682.363351,-12477.83095,-195253.7587
3658,1000000,-1.75E-13,4.27E-13,1.36E-10,-2718.613882,6771.041354,-189601.2363
3659,1000000,-9.87E-14,-1.51E-13,1.37E-10,496.330045,-3683.97425,-194830.6879
3660,1000000,2.30E-13,1.92E-13,1.36E-10,2673.15576,2551.557398,-191918.9736
3661,1000000,-2.38E-13,-2.28E-13,1.36E-10,-10421.09445,-5796.386123,-195119.9959
3662,1000000,2.71E-13,2.50E-13,1.35E-10,1615.338324,4619.360741,-192440.1176
3663,1000000,5.22E-13,2.10E-13,1.37E-10,15978.04464,10899.00707,-194987.999
3664,1000000,2.59E-13,-2.82E-14,1.36E-10,4603.780822,2278.500686,-191817.5996
3665,1000000,4.60E-13,-3.03E-13,1.37E-10,4867.931823,102.924324,-194118.7806
3666,1000000,-1.47E-13,-9.18E-14,1.36E-10,-2349.074733,6004.730369,-189945.2434
3667,1000000,7.70E-13,-1.95E-13,1.36E-10,6870.524656,1231.313267,-191226.5351
3668,1000000,-6.88E-13,3.42E-13,1.38E-10,-11621.4215,5781.492486,-198806.4899
3669,1000000,5.54E-14,3.21E-13,1.34E-10,1977.295251,8295.126954,-191921.4335
3670,1000000,5.97E-13,3.56E-13,1.36E-10,19043.87815,6695.298629,-193850.5476
3671,1000000,-2.38E-13,4.07E-13,1.37E-10,1131.579987,9452.89416,-198707.0722
3672,1000000,2.05E-13,2.42E-13,1.37E-10,-68.27378711,7411.697869,-194689.019
3673,1000000,5.60E-14,-3.27E-13,1.35E-10,-4342.33984,-6459.807422,-191394.9071
3674,1000000,6.78E-13,-2.50E-13,1.37E-10,14193.81019,-4344.889933,-196808.4193
3675,1000000,-4.05E-13,2.55E-13,1.34E-10,-14004.58688,8403.029917,-183817.2079
3676,1000000,-6.75E-14,5.32E-14,1.36E-10,1498.558113,11224.81716,-190462.1577
3677,1000000,1.46E-13,3.66E-13,1.36E-10,2083.509236,1243.57455,-191833.8834
3678,1000000,5.08E-14,-3.37E-13,1.37E-10,5137.285296,-8450.115706,-200775.6391
3679,1000000,1.86E-13,-4.29E-13,1.37E-10,4998.385498,-8849.829096,-198305.4064
3680,1000000,4.22E-14,-4.21E-14,1.35E-10,3250.028174,51.77113718,-193978.9058
3681,1000000,-9.39E-14,3.12E-13,1.38E-10,4109.5348,5747.848309,-192756.7932
3682,1000000,-3.56E-13,3.75E-13,1.37E-10,-1276.087558,391.3452604,-193113.3383
3683,1000000,-4.51E-14,-4.13E-13,1.37E-10,515.0498945,-9616.945762,-190596.3603
3684,1000000,5.07E-13,-3.83E-13,1.35E-10,16920.85025,-8626.542409,-193392.7363
3685,1000000,1.42E-13,6.07E-13,1.37E-10,289.7504758,10352.61785,-195042.861
3686,1000000,2.67E-13,3.09E-13,1.35E-10,3168.86353,-1390.588174,-189078.036
3687,1000000,5.61E-13,-6.71E-14,1.37E-10,8564.928482,-2755.780026,-201920.8637
3688,1000000,-1.71E-13,9.47E-14,1.37E-10,1596.384393,-4983.707026,-197183.9433
