Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
4.58635,5.65741e-13,1059.05,497.786,769.55,-106.194,-46.2041,46.2175,396,0,7805,-7409
7.29874,2.28013e-12,1386.41,703.214,751.305,48.9914,27.8861,-9.02948,1004,0,3925,-2921
6.69191,1.75739e-12,896.876,481.552,1167.56,-10.7031,-37.0451,16.4591,844,0,4508,-3664
6.68783,1.75417e-12,252.331,1291.55,150.595,-9.3408,4.0887,-38.0392,843,0,5090,-4247
5.69352,1.08233e-12,378.162,1027.16,609.808,-44.8417,-34.0769,-20.3776,611,0,5688,-5077
7.28575,2.26798e-12,1291.99,957.336,570.659,-3.93907,6.64262,19.9587,1001,0,4005,-3004
5.3116,8.78803e-13,1312.21,1389.39,725.282,-28.742,-68.5351,24.014,532,0,6481,-5949
6.85507,1.88909e-12,1199.02,62.9122,17.7278,47.2013,1.21685,17.8608,886,0,4137,-3251
6.97068,1.98629e-12,66.4139,438.795,1008.01,3.68386,-14.154,19.4992,916,0,4071,-3155
4.3541,4.84075e-13,1386.75,864.391,492.722,72.6006,51.9584,103.551,357,0,7743,-7386
5.35438,9.0021e-13,1236.21,1294.37,151.999,-10.7649,-71.2644,-82.4377,540,0,5627,-5087
12.0701,1.0312e-11,462.991,825.841,1373.58,10.7123,23.4924,7.4764,2746,0,2189,557
15.1034,2.02043e-11,1312.21,1413.07,485.007,6.05652,-4.78673,1.16483,4300,0,1704,2596
15.1318,2.03184e-11,149.879,1383.83,328.755,-2.98802,0.262699,-5.90833,4316,0,1787,2529
11.9125,9.91358e-12,1236.04,1375.8,266.534,2.52663,1.54068,-15.4067,2675,0,2248,427
10.4208,6.63615e-12,766.321,786.012,879.532,-13.3891,-8.0753,14.5297,2047,0,2800,-753
15.2794,2.09186e-11,338.172,264.393,1400.68,-4.87972,12.8616,5.33054,4401,0,1651,2750
11.737,9.48173e-12,1207.57,486.762,1173.56,2.69745,-1.72961,-12.6101,2597,0,2425,172
13.8646,1.56292e-11,452.235,1320.75,154.496,-1.94523,8.14271,-1.21779,3623,0,2016,1607
8.16992,3.19794e-12,1242.83,418.022,1238.91,20.2188,10.1539,1.42008,1258,0,3424,-2166
12.3394,1.10178e-11,102.942,612.18,328.043,4.83748,5.84244,13.0917,2870,0,2072,798
13.9779,1.60155e-11,1236.16,794.446,806.194,-12.5238,-9.76594,-3.85837,3683,0,2029,1654
12.836,1.24023e-11,12.8872,521.704,1188.41,15.6112,-3.1055,22.3623,3106,0,2171,935
8.27974,3.32864e-12,374.422,947.41,827.665,11.5486,15.9354,12.316,1292,0,3298,-2006
10.1821,6.1906e-12,939.541,571.071,1014.62,-3.45546,0.432151,9.72681,1954,0,3098,-1144
15.0781,2.01027e-11,881.888,843.166,1355.39,-14.6964,-12.2652,-5.44941,4285,0,1802,2483
12.3794,1.11253e-11,64.7612,946.14,203.936,-23.094,5.99784,16.1413,2889,0,1853,1036
19.5901,4.40886e-11,1314.5,907.584,1129.79,-5.96342,10.815,6.99588,7234,0,1285,5949
20.6643,5.17459e-11,1029.18,1411.83,708.056,-9.14854,-3.66243,13.3329,8049,0,1284,6765
19.6901,4.47673e-11,584.25,30.3769,548.108,-1.13768,-2.21837,3.90004,7308,0,1379,5929
16.7008,2.73167e-11,397.767,928.139,448.628,-0.16672,0.838449,5.39377,5257,0,1603,3654
30.057,1.5924e-10,931.434,38.942,411.216,4.81743,-0.66304,6.66124,17029,0,1022,16007
19.8254,4.56967e-11,142.033,592.454,1101.63,-4.85716,-2.91639,8.85746,7409,0,1235,6174
28.9714,1.42602e-10,73.5273,230.818,1376.66,0.2094,0.858083,1.90107,15821,0,948,14873
28.0529,1.29464e-10,1310.54,39.0692,199.325,-4.22939,-3.23855,-3.18261,14834,0,992,13842
28.0618,1.29587e-10,1018.08,219.375,773.117,6.92301,-4.58358,4.07643,14843,0,1065,13778
23.6698,7.77676e-11,791.237,362.245,709.839,1.17157,0.0963206,-2.81155,10561,0,1176,9385
18.1768,3.52185e-11,38.0693,540.56,820.237,-7.93108,11.97,-7.84906,6228,0,1290,4938
27.9168,1.27589e-10,701.578,439.564,398.473,-1.95691,-1.45049,0.000827502,14690,0,1075,13615
28.6693,1.38187e-10,459.167,93.6234,120.041,-3.70486,4.64076,0.165648,15493,0,1080,14413
61.2728,1.34903e-09,787.005,635.851,1065.61,0.654729,1.27684,0.654318,70768,0,910,69858
45.915,5.67651e-10,692.306,686.89,848.737,0.0984866,-1.00628,-1.70644,39738,0,925,38813
32.2764,1.97185e-10,77.2251,1102.33,1320.81,-1.57575,-3.10684,2.6451,19637,0,845,18792
53.3214,8.89041e-10,1056.98,704.955,790.529,-1.24836,-0.352543,0.824749,53593,0,913,52680
57.1976,1.09736e-09,609.083,664.244,316.265,-0.369483,-0.0452037,0.213767,61668,0,917,60751
56.9649,1.08402e-09,835.793,609.533,141.33,0.709917,1.1679,0.682604,61167,0,866,60301
36.2271,2.78816e-10,910.876,588.876,368.531,-1.73054,3.10467,-0.305796,24738,0,856,23882
45.1568,5.3999e-10,772.251,1006.07,337.448,0.677203,-0.657236,-1.84261,38437,0,769,37668
61.6962,1.37718e-09,1357.92,774.255,1370.47,-0.68423,0.512747,0.839517,71749,0,984,70765
49.5091,7.11661e-10,1315.6,165.724,450.362,1.79604,2.2454,-1.70214,46203,0,794,45409
